Part,Color,Quantity,Is Spare,LEGO.COM
11089,0,1,FALSE,0.29
87747,0,45,FALSE,0.09
53451,0,15,FALSE,NA
30374,0,1,FALSE,NA
11090,0,3,FALSE,NA
99780,0,6,FALSE,0.08
28802,0,2,FALSE,0.12
44728,0,9,FALSE,NA
99207,0,2,FALSE,0.1
3004,0,1,FALSE,0.1
3003,0,2,FALSE,0.13
3002,0,2,FALSE,0.17
3001,0,1,FALSE,0.21
13731,0,4,FALSE,0.29
95188,0,2,FALSE,0.57
4733,0,61,FALSE,0.22
87087,0,22,FALSE,0.1
30137,0,1,FALSE,0.18
3937,0,1,FALSE,0.09
6134,0,1,FALSE,0.14
53923,0,14,FALSE,0.09
57360,0,12,FALSE,0.13
30383,0,4,FALSE,NA
54657,0,6,FALSE,0.11
50340,0,1,FALSE,0.11
73983,0,5,FALSE,NA
75c10,0,1,FALSE,NA
75c32,0,4,FALSE,NA
75c09,0,1,FALSE,NA
41854,0,1,FALSE,0.25
3024,0,4,FALSE,0.05
3023,0,68,FALSE,0.07
3623,0,10,FALSE,0.07
3710,0,12,FALSE,0.1
3460,0,2,FALSE,0.17
3832,0,2,FALSE,0.29
2445,0,2,FALSE,0.36
4282,0,1,FALSE,0.5
3022,0,10,FALSE,0.09
2420,0,4,FALSE,0.07
3021,0,10,FALSE,0.13
3020,0,11,FALSE,0.14
3795,0,6,FALSE,0.19
3034,0,6,FALSE,0.25
3031,0,2,FALSE,0.2
3035,0,2,FALSE,0.46
85861,0,3,FALSE,NA
6141,0,10,FALSE,0.05
2654,0,7,FALSE,0.08
61252,0,4,FALSE,NA
4081b,0,4,FALSE,NA
60897,0,2,FALSE,NA
49668,0,12,FALSE,0.06
44861,0,37,FALSE,0.14
48336,0,2,FALSE,0.07
92692,0,2,FALSE,0.19
4623,0,4,FALSE,NA
63868,0,4,FALSE,NA
60470b,0,1,FALSE,NA
60478,0,2,FALSE,0.06
3176,0,2,FALSE,0.12
54200,0,29,FALSE,0.05
4286,0,2,FALSE,0.09
15571,0,55,FALSE,0.09
15672,0,10,FALSE,0.05
3040b,0,22,FALSE,NA
11477,0,12,FALSE,0.06
30602,0,2,FALSE,NA
50950,0,4,FALSE,0.12
11153,0,6,FALSE,0.12
3737,0,6,FALSE,0.25
3708,0,2,FALSE,
4519,0,2,FALSE,
32073,0,1,FALSE,
3706,0,4,FALSE,
3707,0,2,FALSE,
59443,0,6,FALSE,
42135,0,2,FALSE,
32016,0,2,FALSE,
32192,0,6,FALSE,
6536,0,2,FALSE,
41677,0,2,FALSE,
6541,0,4,FALSE,
32000,0,2,FALSE,
32064a,0,20,FALSE,
3702,0,2,FALSE,
48171,0,2,FALSE,
6558,0,1,FALSE,
2780,0,10,FALSE,
47455,0,2,FALSE,
44224,0,2,FALSE,
44225,0,2,FALSE,
15712,0,16,FALSE,
47458,0,16,FALSE,
50955,0,1,FALSE,
50956,0,1,FALSE,
47456,0,5,FALSE,
47753,0,4,FALSE,
41748,0,1,FALSE,
41747,0,1,FALSE,
41750,0,1,FALSE,
41749,0,1,FALSE,
51739,0,2,FALSE,
43723,0,2,FALSE,
43722,0,2,FALSE,
2450,0,4,FALSE,
90194,0,1,FALSE,
30503,0,2,FALSE,
54384,0,1,FALSE,
54383,0,1,FALSE,
47759,0,2,FALSE,
13349,0,2,FALSE,
62361,0,2,FALSE,
43093,1,2,FALSE,
92258,226,1,FALSE,
6112,72,1,FALSE,
3010,72,2,FALSE,
3941,72,3,FALSE,
6222,72,3,FALSE,
3942c,72,3,FALSE,
60479,72,1,FALSE,
3460,72,2,FALSE,
3021,72,1,FALSE,
3020,72,2,FALSE,
3176,72,1,FALSE,
6180,72,2,FALSE,
3040b,72,3,FALSE,
3039,72,4,FALSE,
3045,72,8,FALSE,
3038,72,4,FALSE,
3037,72,7,FALSE,
6541,72,2,FALSE,
3700,72,1,FALSE,
57909b,72,2,FALSE,
3070b,72,1,FALSE,
2431,72,1,FALSE,
3068b,72,17,FALSE,
47457,308,2,FALSE,
3020,308,2,FALSE,
54200,308,34,FALSE,
3040b,308,18,FALSE,
11477,308,84,FALSE,
50950,308,2,FALSE,
93606,308,4,FALSE,
92013,308,2,FALSE,
47456,308,2,FALSE,
47753,308,2,FALSE,
22391,308,2,FALSE,
87747,320,117,FALSE,
3023,320,12,FALSE,
49668,320,4,FALSE,
54200,320,2,FALSE,
3048c,320,6,FALSE,
53451,28,32,FALSE,
54200,28,18,FALSE,
47753,28,1,FALSE,
51739,28,1,FALSE,
3004,2,3,FALSE,
3622,2,2,FALSE,
3024,2,2,FALSE,
3023,2,1,FALSE,
3710,2,4,FALSE,
2445,2,1,FALSE,
4282,2,3,FALSE,
3021,2,2,FALSE,
3795,2,2,FALSE,
63965,71,4,FALSE,
99207,71,14,FALSE,
3622,71,1,FALSE,
3002,71,2,FALSE,
3942c,71,1,FALSE,
4477,71,2,FALSE,
60479,71,3,FALSE,
3623,71,4,FALSE,
3666,71,3,FALSE,
3460,71,2,FALSE,
3022,71,11,FALSE,
3021,71,8,FALSE,
3020,71,4,FALSE,
3027,71,1,FALSE,
3958,71,1,FALSE,
14704,71,3,FALSE,
32073,71,1,FALSE,
44294,71,2,FALSE,
60485,71,2,FALSE,
59443,71,6,FALSE,
2736,71,3,FALSE,
3701,71,1,FALSE,
3894,71,1,FALSE,
4274,71,2,FALSE,
3709,71,1,FALSE,
32001,71,1,FALSE,
30389b,7,1,FALSE,
3626c,78,1,FALSE,
3003,4,7,FALSE,
3001,4,1,FALSE,
2456,4,1,FALSE,
3941,4,3,FALSE,
3023,4,13,FALSE,
3022,4,1,FALSE,
3020,4,4,FALSE,
4032a,4,1,FALSE,
87079,4,2,FALSE,
3010,70,2,FALSE,
3003,70,1,FALSE,
3062b,70,2,FALSE,
4070a,70,2,FALSE,
3024,70,7,FALSE,
4477,70,2,FALSE,
60479,70,2,FALSE,
3023,70,9,FALSE,
3623,70,17,FALSE,
3710,70,12,FALSE,
3666,70,4,FALSE,
3460,70,2,FALSE,
3022,70,8,FALSE,
2420,70,2,FALSE,
3021,70,10,FALSE,
3020,70,3,FALSE,
3795,70,5,FALSE,
3034,70,10,FALSE,
3032,70,2,FALSE,
6141,70,2,FALSE,
15573,70,2,FALSE,
54200,70,54,FALSE,
4286,70,1,FALSE,
11477,70,18,FALSE,
93273,70,4,FALSE,
3700,70,7,FALSE,
48169,70,2,FALSE,
3070b,70,1,FALSE,
3069b,70,2,FALSE,
47456,70,1,FALSE,
43723,70,1,FALSE,
43722,70,1,FALSE,
90194,70,16,FALSE,
41770,70,5,FALSE,
41769,70,5,FALSE,
40378,19,2,FALSE,
87747,19,4,FALSE,
53451,19,4,FALSE,
28802,19,4,FALSE,
44728,19,31,FALSE,
4081b,19,4,FALSE,
15208,19,4,FALSE,
32015,19,2,FALSE,
22484,57,2,FALSE,
3678b,15,1,FALSE,